,Model,accuracy,precision,rappel,roc
0,Regression logistique,0.8271125709166915,0.8300395256916996,0.7969639468690702,0.8255181725295577
1,K plus proches voisins,0.8109883547327561,0.8034571062740077,0.7938013915243517,0.8100794287938501
2,Decision Tree,0.8333830994326664,0.8235294117647058,0.8235294117647058,0.8328619909502263
3,Random Forest,0.8396536279486414,0.8250311332503113,0.8380771663504112,0.8395702573833503
4,XGBoost,0.860256793072559,0.839536302623551,0.8703352308665402,0.8607897873789714
